event,budget_labels_per_class,mean_test_macro_f1,sd_test_macro_f1_across_3_seeds,mean_test_ece,mean_dev_macro_f1
california_wildfires_2018,5,0.6079829592044382,0.009957898339662428,0.19703821703611427,0.6095860003433082
california_wildfires_2018,10,0.6148698911956206,0.004285773255079827,0.16551741138321605,0.6157696188381502
california_wildfires_2018,25,0.6382318424082873,0.011515615552332338,0.09878194106038564,0.6328208733185976
california_wildfires_2018,50,0.6547171900596229,0.003163446690403905,0.10283984667820224,0.6446955664809413
canada_wildfires_2016,5,0.5677838566665095,0.009664136569765466,0.1398566745640187,0.5903103561928503
canada_wildfires_2016,10,0.559127053705239,0.01536268899290546,0.11209220265627799,0.6179576713125656
canada_wildfires_2016,25,0.5965050222735307,0.018512086573849545,0.04878187415081913,0.6642956864805099
canada_wildfires_2016,50,0.5977513974076737,0.02458145392658067,0.08933490825056584,0.6632642345357441
cyclone_idai_2019,5,0.5515105198854693,0.07193130731158039,0.14598451949461536,0.5256597389542231
cyclone_idai_2019,10,0.5364289575168314,0.0378677469767755,0.09714622173265457,0.5028742078720653
cyclone_idai_2019,25,0.5385661913706903,0.062631935839253,0.09733502865857839,0.5237208096841125
cyclone_idai_2019,50,0.6208715381240987,0.03034358731179968,0.10001667151861227,0.5594707909181348
hurricane_dorian_2019,5,0.5542123831250733,0.01950253627994151,0.14900970883226097,0.5967449349690317
hurricane_dorian_2019,10,0.5779144738201211,0.018459090065670546,0.14057278880152843,0.6027648741753718
hurricane_dorian_2019,25,0.5772163441172831,0.027679770596954364,0.16297362058709197,0.6159335128515081
hurricane_dorian_2019,50,0.5883287722394459,0.010256312360223053,0.11629931979164627,0.632988508584871
hurricane_florence_2018,5,0.6544782318455513,0.0035384146509061906,0.13344793229406637,0.6645858919578915
hurricane_florence_2018,10,0.6821674573876818,0.011226006785028822,0.14152078525836898,0.6965353114402233
hurricane_florence_2018,25,0.6833174696207305,0.01972828767252551,0.08556551206681857,0.6891911786292905
hurricane_florence_2018,50,0.6948189100209231,0.014015606674500705,0.0870202893679929,0.7119342989948133
hurricane_harvey_2017,5,0.6355751258273777,0.015374696324248918,0.21081888196871224,0.6395796651936435
hurricane_harvey_2017,10,0.641564485218194,0.014016130520315962,0.18239281369048146,0.6556789300354482
hurricane_harvey_2017,25,0.6625001915359051,0.008902496476874012,0.16175169445581164,0.6742840756716163
hurricane_harvey_2017,50,0.6710734074923254,0.01129045168407041,0.14865121313629606,0.6834190256137576
hurricane_irma_2017,5,0.6257299375639193,0.007935395475917323,0.21663316014075087,0.6294370038218164
hurricane_irma_2017,10,0.6392015244885397,0.0093555223953195,0.2066080438335267,0.6477245226123234
hurricane_irma_2017,25,0.6604733275520523,0.0011140292025135085,0.14171512887506044,0.6674885756238415
hurricane_irma_2017,50,0.6635983410347513,0.0021484711875958532,0.15413478746972886,0.6713671327061469
hurricane_maria_2017,5,0.6551353906149003,0.024637321739917464,0.18305700118349924,0.6740471483886465
hurricane_maria_2017,10,0.6738670985450298,0.017598956232964532,0.17897621001764077,0.6823835488435465
hurricane_maria_2017,25,0.6773941513471436,0.005595604282256209,0.1606217332794002,0.6883837235568772
hurricane_maria_2017,50,0.6870339354155933,0.0017883290502756432,0.12019288297733992,0.7005966892479174
kaikoura_earthquake_2016,5,0.6688024141854466,0.012323862546425545,0.1471715642346276,0.6693535100814297
kaikoura_earthquake_2016,10,0.7066593170038821,0.036350062247041064,0.17343501559390875,0.6747558762037628
kaikoura_earthquake_2016,25,0.7168054115551374,0.03615454721857762,0.10443033740438262,0.6953851017675775
kaikoura_earthquake_2016,50,0.718600799810642,0.04316820459299168,0.09983371895848563,0.6979820634420107
kerala_floods_2018,5,0.5599336328810461,0.006693515965844717,0.2135906096813149,0.6100352511558232
kerala_floods_2018,10,0.5552614385890138,0.0031783273627809527,0.19937255530858713,0.6048158595689723
kerala_floods_2018,25,0.5552304234591344,0.011343431455108464,0.15743944746215685,0.6069731546102534
kerala_floods_2018,50,0.553877296364218,0.017461946239617342,0.06320528482906033,0.6114383023435426
